Year,Month,Division,District,Crime Type,Reported Number,Division_legends,District_legends,,
2011,1,1,Tharparkar,Murder during dacoity/robbery,0,,,,
2011,1,1,Tharparkar,Highway dacoity/robbery,0,,,,
2011,1,1,Tharparkar,Bank dacoity/robbery,0,,,,
2011,1,1,Tharparkar,Car snatching,0,,,,
2011,1,6,6.1,Murder,3,,,,
2011,1,6,6.1,Murder in the form of target killing,0,,,,
2011,1,6,6.1,Murder during dacoity/robbery,0,,,,
2011,1,6,6.1,Highway dacoity/robbery,0,,,,
2011,1,6,6.1,Bank dacoity/robbery,0,,,,
2011,1,6,6.1,Car snatching,0,,,,
2011,1,6,Ghotki,Murder,7,,,,
2011,1,6,Ghotki,Murder in the form of target killing,0,,,,
2011,1,6,Ghotki,Murder during dacoity/robbery,0,,,,
2011,1,6,Ghotki,Highway dacoity/robbery,0,,,,
2011,1,6,Ghotki,Bank dacoity/robbery,0,,,,
2011,1,6,Ghotki,Car snatching,0,,,,
2011,1,6,Khairpur,Murder,13,,,,
2011,1,6,Khairpur,Murder in the form of target killing,0,,,,
2011,1,6,Khairpur,Murder during dacoity/robbery,0,,,,
2011,1,6,Khairpur,Highway dacoity/robbery,3,,,,
2011,1,6,Khairpur,Bank dacoity/robbery,0,,,,
2011,1,6,Khairpur,Car snatching,0,,,,
2011,1,6,N. Feroze,Murder,2,,,,
2011,1,6,N. Feroze,Murder in the form of target killing,0,,,,
2011,1,6,N. Feroze,Murder during dacoity/robbery,1,,,,
2011,1,6,N. Feroze,Highway dacoity/robbery,0,,,,
2011,1,6,N. Feroze,Bank dacoity/robbery,0,,,,
2011,1,6,N. Feroze,Car snatching,0,,,,
2011,1,6,Shikarpur,Murder,6,,,,
2011,1,6,Shikarpur,Murder in the form of target killing,0,,,,
2011,1,6,Shikarpur,Murder during dacoity/robbery,0,,,,
2011,1,6,Shikarpur,Highway dacoity/robbery,1,,,,
2011,1,6,Shikarpur,Bank dacoity/robbery,0,,,,
2011,1,6,Shikarpur,Car snatching,0,,,,
2011,1,6,Larkana,Murder,11,,,,
2011,1,6,Larkana,Murder in the form of target killing,0,,,,
2011,1,6,Larkana,Murder during dacoity/robbery,1,,,,
2011,1,6,Larkana,Highway dacoity/robbery,0,,,,
2011,1,6,Larkana,Bank dacoity/robbery,0,,,,
2011,1,6,Larkana,Car snatching,0,,,,
2011,1,6,Kamber Shahdadkot,Murder,8,,,,
2011,1,6,Kamber Shahdadkot,Murder in the form of target killing,0,,,,
2011,1,6,Kamber Shahdadkot,Murder during dacoity/robbery,0,,,,
2011,1,6,Kamber Shahdadkot,Highway dacoity/robbery,0,,,,
2011,1,6,Kamber Shahdadkot,Bank dacoity/robbery,0,,,,
2011,1,6,Kamber Shahdadkot,Car snatching,0,,,,
2011,1,6,Jacobabad,Murder,2,,,,
2011,1,6,Jacobabad,Murder in the form of target killing,0,,,,
2011,1,6,Jacobabad,Murder during dacoity/robbery,0,,,,
2011,1,6,Jacobabad,Highway dacoity/robbery,0,,,,
2011,1,6,Jacobabad,Bank dacoity/robbery,0,,,,
2011,1,6,Jacobabad,Car snatching,1,,,,
2011,1,6,Kashmore,Murder,6,,,,
2011,1,6,Kashmore,Murder in the form of target killing,0,,,,
2011,1,6,Kashmore,Murder during dacoity/robbery,0,,,,
2011,1,6,Kashmore,Highway dacoity/robbery,0,,,,
2011,1,6,Kashmore,Bank dacoity/robbery,0,,,,
2011,1,6,Kashmore,Car snatching,0,,,,
2011,2,2,South Zone,Murder,18,,,,
2011,2,2,South Zone,Murder in the form of target killing,0,,,,
2011,2,2,South Zone,Murder during dacoity/robbery,4,,,,
2011,2,2,South Zone,Highway dacoity/robbery,0,,,,
2011,2,2,South Zone,Bank dacoity/robbery,0,,,,
2011,2,2,South Zone,Car snatching,3,,,,
2011,2,2,East Zone,Murder,48,,,,
2011,2,2,East Zone,Murder in the form of target killing,2,,,,
2011,2,2,East Zone,Murder during dacoity/robbery,4,,,,
2011,2,2,East Zone,Highway dacoity/robbery,9,,,,
2011,2,2,East Zone,Bank dacoity/robbery,0,,,,
2011,2,2,East Zone,Car snatching,30,,,,
2011,2,2,West Zone,Murder,29,,,,
2011,2,2,West Zone,Murder in the form of target killing,0,,,,
2011,2,2,West Zone,Murder during dacoity/robbery,3,,,,
2011,2,2,West Zone,Highway dacoity/robbery,0,,,,
2011,2,2,West Zone,Bank dacoity/robbery,0,,,,
2011,2,2,West Zone,Car snatching,20,,,,
2011,2,1,1.1,Murder,8,,,,
2011,2,1,1.1,Murder in the form of target killing,0,,,,
2011,2,1,1.1,Murder during dacoity/robbery,2,,,,
2011,2,1,1.1,Highway dacoity/robbery,0,,,,
2011,2,1,1.1,Bank dacoity/robbery,0,,,,
2011,2,1,1.1,Car snatching,0,,,,
2011,2,1,Matyari,Murder,1,,,,
2011,2,1,Matyari,Murder in the form of target killing,0,,,,
2011,2,1,Matyari,Murder during dacoity/robbery,0,,,,
2011,2,1,Matyari,Highway dacoity/robbery,0,,,,
2011,2,1,Matyari,Bank dacoity/robbery,0,,,,
2011,2,1,Matyari,Car snatching,0,,,,
2011,2,1,T.A Yar,Murder,3,,,,
2011,2,1,T.A Yar,Murder in the form of target killing,0,,,,
2011,2,1,T.A Yar,Murder during dacoity/robbery,0,,,,
2011,2,1,T.A Yar,Highway dacoity/robbery,0,,,,
2011,2,1,T.A Yar,Bank dacoity/robbery,0,,,,
2011,2,1,T.A Yar,Car snatching,0,,,,
2011,2,1,T.M Khan,Murder,2,,,,
2011,2,1,T.M Khan,Murder in the form of target killing,0,,,,
2011,2,1,T.M Khan,Murder during dacoity/robbery,0,,,,
2011,2,1,T.M Khan,Highway dacoity/robbery,0,,,,
2011,2,1,T.M Khan,Bank dacoity/robbery,0,,,,
2011,2,1,T.M Khan,Car snatching,0,,,,
2011,2,1,Jamshoro,Murder,4,,,,
2011,2,1,Jamshoro,Murder in the form of target killing,0,,,,
2011,2,1,Jamshoro,Murder during dacoity/robbery,0,,,,
2011,2,1,Jamshoro,Highway dacoity/robbery,0,,,,
2011,2,1,Jamshoro,Bank dacoity/robbery,0,,,,
2011,2,1,Jamshoro,Car snatching,0,,,,
2011,2,1,Dadu,Murder,8,,,,
2011,2,1,Dadu,Murder in the form of target killing,0,,,,
2011,2,1,Dadu,Murder during dacoity/robbery,0,,,,
2011,2,1,Dadu,Highway dacoity/robbery,2,,,,
2011,2,1,Dadu,Bank dacoity/robbery,0,,,,
2011,2,1,Dadu,Car snatching,1,,,,
2011,2,1,Thatta,Murder,3,,,,
2011,2,1,Thatta,Murder in the form of target killing,0,,,,
2011,2,1,Thatta,Murder during dacoity/robbery,0,,,,
2011,2,1,Thatta,Highway dacoity/robbery,0,,,,
2011,2,1,Thatta,Bank dacoity/robbery,0,,,,
2011,2,1,Thatta,Car snatching,0,,,,
2011,2,1,1.2,Murder,1,,,,
2011,2,1,1.2,Murder in the form of target killing,0,,,,
2011,2,1,1.2,Murder during dacoity/robbery,0,,,,
2011,2,1,1.2,Highway dacoity/robbery,0,,,,
2011,2,1,1.2,Bank dacoity/robbery,0,,,,
2011,2,1,1.2,Car snatching,0,,,,
2011,2,1,S.B Abad,Murder,4,,,,
2011,2,1,S.B Abad,Murder in the form of target killing,0,,,,
2011,2,1,S.B Abad,Murder during dacoity/robbery,1,,,,
2011,2,1,S.B Abad,Highway dacoity/robbery,0,,,,
2011,2,1,S.B Abad,Bank dacoity/robbery,0,,,,
2011,2,1,S.B Abad,Car snatching,1,,,,
2011,2,1,Mirpurkhas,Murder,2,,,,
2011,2,1,Mirpurkhas,Murder in the form of target killing,0,,,,
2011,2,1,Mirpurkhas,Murder during dacoity/robbery,0,,,,
2011,2,1,Mirpurkhas,Highway dacoity/robbery,0,,,,
2011,2,1,Mirpurkhas,Bank dacoity/robbery,0,,,,
2011,2,1,Mirpurkhas,Car snatching,0,,,,
2011,2,1,Umerkot,Murder,3,,,,
2011,2,1,Umerkot,Murder in the form of target killing,0,,,,
