Year,Month,Division,Lat,Log,Crime Type,Reported Number,legends
2011,4,Karachi,24.8844,67.1443,3,3,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,4,Karachi,24.8844,67.1443,1,1,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,4,Karachi,24.8844,67.1443,2,22,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,4,Karachi,24.8829,66.9748,4,36,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,4,Karachi,24.8829,66.9748,6,2,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,4,Karachi,24.8829,66.9748,5,1,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,4,Karachi,24.8829,66.9748,3,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,4,Karachi,24.8829,66.9748,1,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,4,Karachi,24.8829,66.9748,2,14,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8605,67.0261,4,35,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8605,67.0261,6,2,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8605,67.0261,5,1,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8605,67.0261,3,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8605,67.0261,1,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8605,67.0261,2,4,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8844,67.1443,4,43,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8844,67.1443,6,1,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8844,67.1443,5,2,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8844,67.1443,3,1,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8844,67.1443,1,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8844,67.1443,2,46,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8829,66.9748,4,44,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8829,66.9748,6,2,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8829,66.9748,5,3,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8829,66.9748,3,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8829,66.9748,1,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,5,Karachi,24.8829,66.9748,2,8,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
