Year,Month,Division,District,Crime Type,Reported Number,Notes
2012,August,Karachi,East Zone,Murder in the form of target killing,1,
2012,August,Karachi,East Zone,Murder during dacoity/robbery,3,
2012,August,Karachi,East Zone,Highway dacoity/robbery,0,
2012,August,Karachi,East Zone,Bank dacoity/robbery,1,
2012,August,Karachi,East Zone,Car snatching,27,
2012,August,Karachi,West Zone,Murder,49,
2012,August,Karachi,West Zone,Murder in the form of target killing,5,
2012,August,Karachi,West Zone,Murder during dacoity/robbery,5,
2012,August,Karachi,West Zone,Highway dacoity/robbery,0,
2012,August,Karachi,West Zone,Bank dacoity/robbery,0,
2012,August,Karachi,West Zone,Car snatching,1,
2012,August,Karachi,Central Zone,Murder,14,
2012,August,Karachi,Central Zone,Murder in the form of target killing,12,
2012,August,Karachi,Central Zone,Murder during dacoity/robbery,0,
2012,August,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,August,Karachi,Central Zone,Bank dacoity/robbery,0,
2012,August,Karachi,Central Zone,Car snatching,8,
2012,August,Karachi,Malir,Murder,25,
2012,August,Karachi,Malir,Murder in the form of target killing,2,
2012,August,Karachi,Malir,Murder during dacoity/robbery,2,
2012,August,Karachi,Malir,Highway dacoity/robbery,9,
2012,August,Karachi,Malir,Bank dacoity/robbery,0,
2012,August,Karachi,Malir,Car snatching,7,
2012,September,Karachi,South Zone,Murder,45,
2012,September,Karachi,South Zone,Murder in the form of target killing,0,
2012,September,Karachi,South Zone,Murder during dacoity/robbery,1,
2012,September,Karachi,South Zone,Highway dacoity/robbery,0,
2012,September,Karachi,South Zone,Bank dacoity/robbery,0,
2012,September,Karachi,South Zone,Car snatching,12,
2012,September,Karachi,East Zone,Murder,42,
2012,September,Karachi,East Zone,Murder in the form of target killing,2,
2012,September,Karachi,East Zone,Murder during dacoity/robbery,1,
2012,September,Karachi,East Zone,Highway dacoity/robbery,0,
2012,September,Karachi,East Zone,Bank dacoity/robbery,1,
2012,September,Karachi,East Zone,Car snatching,57,
2012,September,Karachi,West Zone,Murder,62,
2012,September,Karachi,West Zone,Murder in the form of target killing,3,
2012,September,Karachi,West Zone,Murder during dacoity/robbery,1,
2012,September,Karachi,West Zone,Highway dacoity/robbery,0,
2012,September,Karachi,West Zone,Bank dacoity/robbery,1,
2012,September,Karachi,West Zone,Car snatching,1,
2012,September,Karachi,Central Zone,Murder,37,
2012,September,Karachi,Central Zone,Murder in the form of target killing,0,
2012,September,Karachi,Central Zone,Murder during dacoity/robbery,0,
2012,September,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,September,Karachi,Central Zone,Bank dacoity/robbery,1,
2012,September,Karachi,Central Zone,Car snatching,3,
2012,September,Karachi,Malir,Murder,24,
2012,September,Karachi,Malir,Murder in the form of target killing,0,
2012,September,Karachi,Malir,Murder during dacoity/robbery,0,
2012,September,Karachi,Malir,Highway dacoity/robbery,2,
2012,September,Karachi,Malir,Bank dacoity/robbery,0,
2012,September,Karachi,Malir,Car snatching,0,
2012,October,Karachi,South Zone,Murder,36,
2012,October,Karachi,South Zone,Murder in the form of target killing,12,
2012,October,Karachi,South Zone,Murder during dacoity/robbery,2,
2012,October,Karachi,South Zone,Highway dacoity/robbery,0,
2012,October,Karachi,South Zone,Bank dacoity/robbery,0,
2012,October,Karachi,South Zone,Car snatching,13,
2012,October,Karachi,East Zone,Murder,39,
2012,October,Karachi,East Zone,Murder in the form of target killing,1,
2012,October,Karachi,East Zone,Murder during dacoity/robbery,5,
2012,October,Karachi,East Zone,Highway dacoity/robbery,0,
2012,October,Karachi,East Zone,Bank dacoity/robbery,2,
2012,October,Karachi,East Zone,Car snatching,30,
2012,October,Karachi,West Zone,Murder,50,
2012,October,Karachi,West Zone,Murder in the form of target killing,16,
2012,October,Karachi,West Zone,Murder during dacoity/robbery,3,
2012,October,Karachi,West Zone,Highway dacoity/robbery,0,
2012,October,Karachi,West Zone,Bank dacoity/robbery,2,
2012,October,Karachi,West Zone,Car snatching,2,
2012,October,Karachi,Central Zone,Murder,36,
2012,October,Karachi,Central Zone,Murder in the form of target killing,2,
2012,October,Karachi,Central Zone,Murder during dacoity/robbery,2,
2012,October,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,October,Karachi,Central Zone,Bank dacoity/robbery,1,
2012,October,Karachi,Central Zone,Car snatching,10,
2012,October,Karachi,Malir,Murder,21,
2012,October,Karachi,Malir,Murder in the form of target killing,1,
2012,October,Karachi,Malir,Murder during dacoity/robbery,1,
2012,October,Karachi,Malir,Highway dacoity/robbery,4,
2012,October,Karachi,Malir,Bank dacoity/robbery,0,
2012,October,Karachi,Malir,Car snatching,0,
2012,November,Karachi,South Zone,Murder,20,
2012,November,Karachi,South Zone,Murder in the form of target killing,1,
2012,November,Karachi,South Zone,Murder during dacoity/robbery,0,
2012,November,Karachi,South Zone,Highway dacoity/robbery,0,
2012,November,Karachi,South Zone,Bank dacoity/robbery,0,
2012,November,Karachi,South Zone,Car snatching,5,
2012,November,Karachi,East Zone,Murder,30,
2012,November,Karachi,East Zone,Murder in the form of target killing,1,
2012,November,Karachi,East Zone,Murder during dacoity/robbery,1,
2012,November,Karachi,East Zone,Highway dacoity/robbery,0,
2012,November,Karachi,East Zone,Bank dacoity/robbery,1,
2012,November,Karachi,East Zone,Car snatching,24,
2012,November,Karachi,West Zone,Murder,56,
2012,November,Karachi,West Zone,Murder in the form of target killing,4,
2012,November,Karachi,West Zone,Murder during dacoity/robbery,2,
2012,November,Karachi,West Zone,Highway dacoity/robbery,0,
2012,November,Karachi,West Zone,Bank dacoity/robbery,2,
2012,November,Karachi,West Zone,Car snatching,2,
2012,November,Karachi,Central Zone,Murder,26,
2012,November,Karachi,Central Zone,Murder in the form of target killing,0,
2012,November,Karachi,Central Zone,Murder during dacoity/robbery,1,
2012,November,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,November,Karachi,Central Zone,Bank dacoity/robbery,0,
2012,November,Karachi,Central Zone,Car snatching,12,
2012,November,Karachi,Malir,Murder,25,
2012,November,Karachi,Malir,Murder in the form of target killing,3,
2012,November,Karachi,Malir,Murder during dacoity/robbery,1,
2012,November,Karachi,Malir,Highway dacoity/robbery,4,
2012,November,Karachi,Malir,Bank dacoity/robbery,0,
2012,November,Karachi,Malir,Car snatching,4,
2012,December,Karachi,South Zone,Murder,33,
2012,December,Karachi,South Zone,Murder in the form of target killing,2,
2012,December,Karachi,South Zone,Murder during dacoity/robbery,2,
2012,December,Karachi,South Zone,Highway dacoity/robbery,0,
2012,December,Karachi,South Zone,Bank dacoity/robbery,0,
2012,December,Karachi,South Zone,Car snatching,10,
2012,December,Karachi,East Zone,Murder,25,
2012,December,Karachi,East Zone,Murder in the form of target killing,4,
2012,December,Karachi,East Zone,Murder during dacoity/robbery,6,
2012,December,Karachi,East Zone,Highway dacoity/robbery,0,
2012,December,Karachi,East Zone,Bank dacoity/robbery,0,
2012,December,Karachi,East Zone,Car snatching,30,
2012,December,Karachi,West Zone,Murder,47,
2012,December,Karachi,West Zone,Murder in the form of target killing,6,
2012,December,Karachi,West Zone,Murder during dacoity/robbery,3,
2012,December,Karachi,West Zone,Highway dacoity/robbery,0,
2012,December,Karachi,West Zone,Bank dacoity/robbery,0,
2012,December,Karachi,West Zone,Car snatching,1,
2012,December,Karachi,Central Zone,Murder,27,
2012,December,Karachi,Central Zone,Murder in the form of target killing,3,
2012,December,Karachi,Central Zone,Murder during dacoity/robbery,1,
2012,December,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,December,Karachi,Central Zone,Bank dacoity/robbery,0,
2012,December,Karachi,Central Zone,Car snatching,5,
2012,December,Karachi,Malir,Murder,33,
2012,December,Karachi,Malir,Murder in the form of target killing,2,
2012,December,Karachi,Malir,Murder during dacoity/robbery,0,
2012,December,Karachi,Malir,Highway dacoity/robbery,3,
2012,December,Karachi,Malir,Bank dacoity/robbery,0,
2012,December,Karachi,Malir,Car snatching,3,
2013,January,Karachi,South Zone,Murder,38,
2013,January,Karachi,South Zone,Murder in the form of target killing,3,
2013,January,Karachi,South Zone,Murder during dacoity/robbery,1,
2013,January,Karachi,South Zone,Highway dacoity/robbery,0,
2013,January,Karachi,South Zone,Bank dacoity/robbery,0,
2013,January,Karachi,South Zone,Car snatching,13,
2013,January,Karachi,East Zone,Murder,42,
2013,January,Karachi,East Zone,Murder in the form of target killing,2,
2013,January,Karachi,East Zone,Murder during dacoity/robbery,2,
2013,January,Karachi,East Zone,Highway dacoity/robbery,0,
2013,January,Karachi,East Zone,Bank dacoity/robbery,1,
2013,January,Karachi,East Zone,Car snatching,20,
2013,January,Karachi,Malir,Murder,35,
2013,January,Karachi,Malir,Murder in the form of target killing,0,
2013,January,Karachi,Malir,Murder during dacoity/robbery,0,
2013,January,Karachi,Malir,Highway dacoity/robbery,0,
2013,January,Karachi,Malir,Bank dacoity/robbery,0,
2013,January,Karachi,Malir,Car snatching,2,
2013,January,Karachi,West Zone,Murder,21,
2013,January,Karachi,West Zone,Murder in the form of target killing,2,
2013,January,Karachi,West Zone,Murder during dacoity/robbery,4,
2013,January,Karachi,West Zone,Highway dacoity/robbery,4,
2013,January,Karachi,West Zone,Bank dacoity/robbery,0,
2013,January,Karachi,West Zone,Car snatching,2,
2013,January,Karachi,Central Zone,Murder,59,
2013,January,Karachi,Central Zone,Murder in the form of target killing,3,
2013,January,Karachi,Central Zone,Murder during dacoity/robbery,2,
2013,January,Karachi,Central Zone,Highway dacoity/robbery,0,
2013,January,Karachi,Central Zone,Bank dacoity/robbery,0,
2013,January,Karachi,Central Zone,Car snatching,1,
2013,February,Karachi,South Zone,Murder,26,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,South Zone,Murder in the form of target killing,2,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,South Zone,Murder during dacoity/robbery,3,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,South Zone,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,South Zone,Bank dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,South Zone,Car snatching,10,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,East Zone,Murder,40,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,East Zone,Murder in the form of target killing,2,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,East Zone,Murder during dacoity/robbery,3,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,East Zone,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,East Zone,Bank dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,East Zone,Car snatching,18,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,Malir,Murder,29,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,Malir,Murder in the form of target killing,2,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,Malir,Murder during dacoity/robbery,1,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,Malir,Highway dacoity/robbery,2,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,Malir,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,Malir,Car snatching,0,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,West Zone,Murder,64,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,West Zone,Murder in the form of target killing,0,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,West Zone,Murder during dacoity/robbery,9,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,West Zone,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,West Zone,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,West Zone,Car snatching,2,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,Central Zone,Murder,33,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,Central Zone,Murder in the form of target killing,2,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,Central Zone,Murder during dacoity/robbery,2,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,Central Zone,Highway dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,Central Zone,Bank dacoity/robbery,0,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,February,Karachi,Central Zone,Car snatching,7,"Value not available, used formula to calculate: March cuml-March value-Jan value"
2013,March,Karachi,South Zone,Murder,37,
2013,March,Karachi,South Zone,Murder in the form of target killing,2,
2013,March,Karachi,South Zone,Murder during dacoity/robbery,0,
2013,March,Karachi,South Zone,Highway dacoity/robbery,0,
2013,March,Karachi,South Zone,Bank dacoity/robbery,2,
2013,March,Karachi,South Zone,Car snatching,9,
2013,March,Karachi,East Zone,Murder,50,
2013,March,Karachi,East Zone,Murder in the form of target killing,1,
2013,March,Karachi,East Zone,Murder during dacoity/robbery,2,
2013,March,Karachi,East Zone,Highway dacoity/robbery,0,
2013,March,Karachi,East Zone,Bank dacoity/robbery,1,
2013,March,Karachi,East Zone,Car snatching,21,
2013,March,Karachi,Malir,Murder,33,
2013,March,Karachi,Malir,Murder in the form of target killing,0,
2013,March,Karachi,Malir,Murder during dacoity/robbery,4,
2013,March,Karachi,Malir,Highway dacoity/robbery,9,
2013,March,Karachi,Malir,Bank dacoity/robbery,0,
2013,March,Karachi,Malir,Car snatching,0,
2013,March,Karachi,West Zone,Murder,45,
2013,March,Karachi,West Zone,Murder in the form of target killing,4,
2013,March,Karachi,West Zone,Murder during dacoity/robbery,3,
2013,March,Karachi,West Zone,Highway dacoity/robbery,0,
2013,March,Karachi,West Zone,Bank dacoity/robbery,0,
2013,March,Karachi,West Zone,Car snatching,6,
2013,March,Karachi,Central Zone,Murder,23,
2013,March,Karachi,Central Zone,Murder in the form of target killing,7,
2013,March,Karachi,Central Zone,Murder during dacoity/robbery,0,
2013,March,Karachi,Central Zone,Highway dacoity/robbery,0,
2013,March,Karachi,Central Zone,Bank dacoity/robbery,1,
2013,March,Karachi,Central Zone,Car snatching,5,
2013,April,Karachi,South Zone,Murder,22,
2013,April,Karachi,South Zone,Murder in the form of target killing,1,
2013,April,Karachi,South Zone,Murder during dacoity/robbery,0,
2013,April,Karachi,South Zone,Highway dacoity/robbery,0,
2013,April,Karachi,South Zone,Bank dacoity/robbery,1,
2013,April,Karachi,South Zone,Car snatching,9,
2013,April,Karachi,East Zone,Murder,31,
2013,April,Karachi,East Zone,Murder in the form of target killing,4,
2013,April,Karachi,East Zone,Murder during dacoity/robbery,2,
2013,April,Karachi,East Zone,Highway dacoity/robbery,0,
2013,April,Karachi,East Zone,Bank dacoity/robbery,2,
2013,April,Karachi,East Zone,Car snatching,21,
2013,April,Karachi,Malir,Murder,25,
2013,April,Karachi,Malir,Murder in the form of target killing,1,
2013,April,Karachi,Malir,Murder during dacoity/robbery,1,
2013,April,Karachi,Malir,Highway dacoity/robbery,5,
2013,April,Karachi,Malir,Bank dacoity/robbery,0,
2013,April,Karachi,Malir,Car snatching,1,
2013,April,Karachi,West Zone,Murder,54,
2013,April,Karachi,West Zone,Murder in the form of target killing,7,
2013,April,Karachi,West Zone,Murder during dacoity/robbery,1,
2013,April,Karachi,West Zone,Highway dacoity/robbery,0,
2013,April,Karachi,West Zone,Bank dacoity/robbery,0,
2013,April,Karachi,West Zone,Car snatching,0,
2013,April,Karachi,Central Zone,Murder,21,
2013,April,Karachi,Central Zone,Murder in the form of target killing,2,
2013,April,Karachi,Central Zone,Murder during dacoity/robbery,2,
2013,April,Karachi,Central Zone,Highway dacoity/robbery,0,
2013,April,Karachi,Central Zone,Bank dacoity/robbery,0,
2013,April,Karachi,Central Zone,Car snatching,6,
2013,May,Karachi,South Zone,Murder,41,
2013,May,Karachi,South Zone,Murder in the form of target killing,2,
2013,May,Karachi,South Zone,Murder during dacoity/robbery,1,
2013,May,Karachi,South Zone,Highway dacoity/robbery,0,
2013,May,Karachi,South Zone,Bank dacoity/robbery,1,
2013,May,Karachi,South Zone,Car snatching,5,
2013,May,Karachi,East Zone,Murder,33,
2013,May,Karachi,East Zone,Murder in the form of target killing,1,
2013,May,Karachi,East Zone,Murder during dacoity/robbery,1,
2013,May,Karachi,East Zone,Highway dacoity/robbery,0,
2013,May,Karachi,East Zone,Bank dacoity/robbery,1,
2013,May,Karachi,East Zone,Car snatching,15,
2013,May,Karachi,Malir,Murder,31,
2013,May,Karachi,Malir,Murder in the form of target killing,1,
2013,May,Karachi,Malir,Murder during dacoity/robbery,1,
2013,May,Karachi,Malir,Highway dacoity/robbery,4,
2013,May,Karachi,Malir,Bank dacoity/robbery,0,
2013,May,Karachi,Malir,Car snatching,4,
2013,May,Karachi,West Zone,Murder,66,
2013,May,Karachi,West Zone,Murder in the form of target killing,2,
2013,May,Karachi,West Zone,Murder during dacoity/robbery,3,
2013,May,Karachi,West Zone,Highway dacoity/robbery,0,
2013,May,Karachi,West Zone,Bank dacoity/robbery,2,
2013,May,Karachi,West Zone,Car snatching,2,
2013,May,Karachi,Central Zone,Murder,29,
2013,May,Karachi,Central Zone,Murder in the form of target killing,1,
2013,May,Karachi,Central Zone,Murder during dacoity/robbery,1,
2013,May,Karachi,Central Zone,Highway dacoity/robbery,2,
2013,May,Karachi,Central Zone,Bank dacoity/robbery,0,
2013,May,Karachi,Central Zone,Car snatching,5,
2013,June,Karachi,South Zone,Murder,41,
2013,June,Karachi,South Zone,Murder in the form of target killing,2,
2013,June,Karachi,South Zone,Murder during dacoity/robbery,1,
2013,June,Karachi,South Zone,Highway dacoity/robbery,0,
2013,June,Karachi,South Zone,Bank dacoity/robbery,1,
2013,June,Karachi,South Zone,Car snatching,5,
2013,June,Karachi,East Zone,Murder,33,
2013,June,Karachi,East Zone,Murder in the form of target killing,1,
2013,June,Karachi,East Zone,Murder during dacoity/robbery,1,
2013,June,Karachi,East Zone,Highway dacoity/robbery,0,
2013,June,Karachi,East Zone,Bank dacoity/robbery,1,
2013,June,Karachi,East Zone,Car snatching,15,
2013,June,Karachi,Malir,Murder,31,
2013,June,Karachi,Malir,Murder in the form of target killing,1,
2013,June,Karachi,Malir,Murder during dacoity/robbery,1,
2013,June,Karachi,Malir,Highway dacoity/robbery,4,
2013,June,Karachi,Malir,Bank dacoity/robbery,0,
2013,June,Karachi,Malir,Car snatching,4,
2013,June,Karachi,West Zone,Murder,66,
2013,June,Karachi,West Zone,Murder in the form of target killing,2,
2013,June,Karachi,West Zone,Murder during dacoity/robbery,3,
2013,June,Karachi,West Zone,Highway dacoity/robbery,0,
2013,June,Karachi,West Zone,Bank dacoity/robbery,2,
2013,June,Karachi,West Zone,Car snatching,2,
2013,June,Karachi,Central Zone,Murder,29,
2013,June,Karachi,Central Zone,Murder in the form of target killing,1,
2013,June,Karachi,Central Zone,Murder during dacoity/robbery,1,
2013,June,Karachi,Central Zone,Highway dacoity/robbery,2,
2013,June,Karachi,Central Zone,Bank dacoity/robbery,0,
2013,June,Karachi,Central Zone,Car snatching,5,
2013,July,Karachi,South Zone,Murder,41,
2013,July,Karachi,South Zone,Murder in the form of target killing,2,
2013,July,Karachi,South Zone,Murder during dacoity/robbery,1,
2013,July,Karachi,South Zone,Highway dacoity/robbery,0,
2013,July,Karachi,South Zone,Bank dacoity/robbery,1,
2013,July,Karachi,South Zone,Car snatching,5,
2013,July,Karachi,East Zone,Murder,33,
2013,July,Karachi,East Zone,Murder in the form of target killing,1,
2013,July,Karachi,East Zone,Murder during dacoity/robbery,1,
2013,July,Karachi,East Zone,Highway dacoity/robbery,0,
2013,July,Karachi,East Zone,Bank dacoity/robbery,1,
2013,July,Karachi,East Zone,Car snatching,15,
2013,July,Karachi,Malir,Murder,31,
2013,July,Karachi,Malir,Murder in the form of target killing,1,
2013,July,Karachi,Malir,Murder during dacoity/robbery,1,
2013,July,Karachi,Malir,Highway dacoity/robbery,4,
2013,July,Karachi,Malir,Bank dacoity/robbery,0,
2013,July,Karachi,Malir,Car snatching,4,
2013,July,Karachi,West Zone,Murder,66,
2013,July,Karachi,West Zone,Murder in the form of target killing,2,
2013,July,Karachi,West Zone,Murder during dacoity/robbery,3,
2013,July,Karachi,West Zone,Highway dacoity/robbery,0,
2013,July,Karachi,West Zone,Bank dacoity/robbery,2,
2013,July,Karachi,West Zone,Car snatching,2,
2013,July,Karachi,Central Zone,Murder,29,
2013,July,Karachi,Central Zone,Murder in the form of target killing,1,
2013,July,Karachi,Central Zone,Murder during dacoity/robbery,1,
2013,July,Karachi,Central Zone,Highway dacoity/robbery,2,
2013,July,Karachi,Central Zone,Bank dacoity/robbery,0,
2013,July,Karachi,Central Zone,Car snatching,5,
2013,August,Karachi,South Zone,Murder,38,
2013,August,Karachi,South Zone,Murder in the form of target killing,4,
2013,August,Karachi,South Zone,Murder during dacoity/robbery,1,
2013,August,Karachi,South Zone,Highway dacoity/robbery,0,
2013,August,Karachi,South Zone,Bank dacoity/robbery,0,
2013,August,Karachi,South Zone,Car snatching,0,
2013,August,Karachi,East Zone,Murder,41,
2013,August,Karachi,East Zone,Murder in the form of target killing,2,
2013,August,Karachi,East Zone,Murder during dacoity/robbery,2,
2013,August,Karachi,East Zone,Highway dacoity/robbery,0,
2013,August,Karachi,East Zone,Bank dacoity/robbery,1,
2013,August,Karachi,East Zone,Car snatching,0,
2013,August,Karachi,Malir,Murder,45,
2013,August,Karachi,Malir,Murder in the form of target killing,3,
2013,August,Karachi,Malir,Murder during dacoity/robbery,1,
2013,August,Karachi,Malir,Highway dacoity/robbery,7,
2013,August,Karachi,Malir,Bank dacoity/robbery,0,
2013,August,Karachi,Malir,Car snatching,0,
2013,August,Karachi,West Zone,Murder,71,
2013,August,Karachi,West Zone,Murder in the form of target killing,5,
2013,August,Karachi,West Zone,Murder during dacoity/robbery,3,
2013,August,Karachi,West Zone,Highway dacoity/robbery,0,
2013,August,Karachi,West Zone,Bank dacoity/robbery,0,
2013,August,Karachi,West Zone,Car snatching,1,
2013,August,Karachi,Central Zone,Murder,24,
2013,August,Karachi,Central Zone,Murder in the form of target killing,1,
2013,August,Karachi,Central Zone,Murder during dacoity/robbery,1,
2013,August,Karachi,Central Zone,Highway dacoity/robbery,0,
2013,August,Karachi,Central Zone,Bank dacoity/robbery,1,
2013,August,Karachi,Central Zone,Car snatching,0,
2013,September,Karachi,South Zone,Murder,11,
2013,September,Karachi,South Zone,Murder in the form of target killing,1,
2013,September,Karachi,South Zone,Murder during dacoity/robbery,3,
2013,September,Karachi,South Zone,Highway dacoity/robbery,0,
2013,September,Karachi,South Zone,Bank dacoity/robbery,0,
2013,September,Karachi,South Zone,Car snatching,4,
2013,September,Karachi,East Zone,Murder,31,
2013,September,Karachi,East Zone,Murder in the form of target killing,4,
2013,September,Karachi,East Zone,Murder during dacoity/robbery,1,
2013,September,Karachi,East Zone,Highway dacoity/robbery,0,
2013,September,Karachi,East Zone,Bank dacoity/robbery,3,
2013,September,Karachi,East Zone,Car snatching,20,
2013,September,Karachi,Malir,Murder,18,
2013,September,Karachi,Malir,Murder in the form of target killing,0,
2013,September,Karachi,Malir,Murder during dacoity/robbery,0,
2013,September,Karachi,Malir,Highway dacoity/robbery,5,
2013,September,Karachi,Malir,Bank dacoity/robbery,0,
2013,September,Karachi,Malir,Car snatching,2,
2013,September,Karachi,West Zone,Murder,49,
2013,September,Karachi,West Zone,Murder in the form of target killing,11,
2013,September,Karachi,West Zone,Murder during dacoity/robbery,1,
2013,September,Karachi,West Zone,Highway dacoity/robbery,0,
2013,September,Karachi,West Zone,Bank dacoity/robbery,0,
2013,September,Karachi,West Zone,Car snatching,3,
2013,September,Karachi,Central Zone,Murder,10,
2013,September,Karachi,Central Zone,Murder in the form of target killing,3,
2013,September,Karachi,Central Zone,Murder during dacoity/robbery,1,
2013,September,Karachi,Central Zone,Highway dacoity/robbery,0,
2013,September,Karachi,Central Zone,Bank dacoity/robbery,0,
2013,September,Karachi,Central Zone,Car snatching,11,
2013,October,Karachi,South Zone,Murder,24,
2013,October,Karachi,South Zone,Murder in the form of target killing,0,
2013,October,Karachi,South Zone,Murder during dacoity/robbery,0,
2013,October,Karachi,South Zone,Highway dacoity/robbery,0,
2013,October,Karachi,South Zone,Bank dacoity/robbery,0,
2013,October,Karachi,South Zone,Car snatching,9,
2013,October,Karachi,East Zone,Murder,32,
2013,October,Karachi,East Zone,Murder in the form of target killing,1,
2013,October,Karachi,East Zone,Murder during dacoity/robbery,3,
2013,October,Karachi,East Zone,Highway dacoity/robbery,0,
2013,October,Karachi,East Zone,Bank dacoity/robbery,0,
2013,October,Karachi,East Zone,Car snatching,10,
2013,October,Karachi,Malir,Murder,23,
2013,October,Karachi,Malir,Murder in the form of target killing,1,
2013,October,Karachi,Malir,Murder during dacoity/robbery,3,
2013,October,Karachi,Malir,Highway dacoity/robbery,5,
2013,October,Karachi,Malir,Bank dacoity/robbery,0,
2013,October,Karachi,Malir,Car snatching,5,
2013,October,Karachi,West Zone,Murder,36,
2013,October,Karachi,West Zone,Murder in the form of target killing,4,
2013,October,Karachi,West Zone,Murder during dacoity/robbery,4,
2013,October,Karachi,West Zone,Highway dacoity/robbery,0,
2013,October,Karachi,West Zone,Bank dacoity/robbery,0,
2013,October,Karachi,West Zone,Car snatching,2,
2013,October,Karachi,Central Zone,Murder,11,
2013,October,Karachi,Central Zone,Murder in the form of target killing,1,
2013,October,Karachi,Central Zone,Murder during dacoity/robbery,0,
2013,October,Karachi,Central Zone,Highway dacoity/robbery,0,
2013,October,Karachi,Central Zone,Bank dacoity/robbery,2,
2013,October,Karachi,Central Zone,Car snatching,1,
2013,November,Karachi,South Zone,Murder,38,
2013,November,Karachi,South Zone,Murder in the form of target killing,1,
2013,November,Karachi,South Zone,Murder during dacoity/robbery,1,
2013,November,Karachi,South Zone,Highway dacoity/robbery,0,
2013,November,Karachi,South Zone,Bank dacoity/robbery,0,
2013,November,Karachi,South Zone,Car snatching,6,
2013,November,Karachi,East Zone,Murder,21,
2013,November,Karachi,East Zone,Murder in the form of target killing,4,
2013,November,Karachi,East Zone,Murder during dacoity/robbery,2,
2013,November,Karachi,East Zone,Highway dacoity/robbery,0,
2013,November,Karachi,East Zone,Bank dacoity/robbery,0,
2013,November,Karachi,East Zone,Car snatching,15,
2013,November,Karachi,Malir,Murder,17,
2013,November,Karachi,Malir,Murder in the form of target killing,0,
2013,November,Karachi,Malir,Murder during dacoity/robbery,0,
2013,November,Karachi,Malir,Highway dacoity/robbery,5,
2013,November,Karachi,Malir,Bank dacoity/robbery,0,
2013,November,Karachi,Malir,Car snatching,0,
2013,November,Karachi,West Zone,Murder,48,
2013,November,Karachi,West Zone,Murder in the form of target killing,4,
2013,November,Karachi,West Zone,Murder during dacoity/robbery,2,
2013,November,Karachi,West Zone,Highway dacoity/robbery,0,
2013,November,Karachi,West Zone,Bank dacoity/robbery,0,
2013,November,Karachi,West Zone,Car snatching,1,
2013,November,Karachi,Central Zone,Murder,12,
2013,November,Karachi,Central Zone,Murder in the form of target killing,1,
2013,November,Karachi,Central Zone,Murder during dacoity/robbery,2,
2013,November,Karachi,Central Zone,Highway dacoity/robbery,0,
2013,November,Karachi,Central Zone,Bank dacoity/robbery,1,
2013,November,Karachi,Central Zone,Car snatching,11,
2013,December,Karachi,South Zone,Murder,23,
2013,December,Karachi,South Zone,Murder in the form of target killing,1,
